admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,Total, Male, Female,T_00_17,T_18_60,T_60plus
Afder,ET0508,Somali,ET05,Ethiopia,ET,654828,352416,302413,347059,276010,31759
Agnewak,ET1202,Gambela,ET12,Ethiopia,ET,164054,83695,80359,86948,69149,7957
Alle,ET0712,SNNP,ET07,Ethiopia,ET,81190,40595,40595,43031,34221,3938
Amaro,ET0721,SNNP,ET07,Ethiopia,ET,195252,97626,97626,103484,82299,9470
Arsi,ET0408,Oromia,ET04,Ethiopia,ET,3645492,1829539,1815952,1932111,1536575,176806
Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,402287,205735,196552,213212,169564,19511
Awi,ET0309,Amhara,ET03,Ethiopia,ET,1338704,671166,667538,709513,564264,64927
Bale,ET0411,Oromia,ET04,Ethiopia,ET,1887498,993344,894153,1000374,795580,91544
Basketo,ET0716,SNNP,ET07,Ethiopia,ET,75512,37790,37722,40021,31828,3662
Bench Maji,ET0711,SNNP,ET07,Ethiopia,ET,603595,297444,306151,319905,254415,29274
Borena,ET0412,Oromia,ET04,Ethiopia,ET,545493,274755,270738,289111,229925,26456
Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,809088,406464,402624,428816,341030,39241
Burji,ET0722,SNNP,ET07,Ethiopia,ET,71728,35864,35864,38016,30234,3479
Central,ET0102,Tigray,ET01,Ethiopia,ET,1384454,679456,704998,733760,583547,67146
Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2719899,1369844,1350056,1441547,1146438,131915
Daawa,ET0511,Somali,ET05,Ethiopia,ET,457130,246018,211112,242279,192680,22171
Dawuro,ET0717,SNNP,ET07,Ethiopia,ET,643931,329485,314446,341284,271417,31231
Derashe,ET0723,SNNP,ET07,Ethiopia,ET,107301,52394,54907,56870,45227,5204
Dire Dawa rural,ET1502,Dire Dawa,ET15,Ethiopia,ET,188933,95013,93921,100135,79635,9163
Dire Dawa urban,ET1501,Dire Dawa,ET15,Ethiopia,ET,319985,160539,159447,169592,134874,15519
Doolo,ET0507,Somali,ET05,Ethiopia,ET,425824,229170,196654,225687,179485,20652
East Gojam ,ET0306,Amhara,ET03,Ethiopia,ET,2672621,1321109,1351511,1416489,1126510,129622
East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,3739861,1889959,1849901,1982126,1576351,181383
East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2234419,1138126,1096293,1184242,941808,108369
East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,1693681,846145,847536,897651,713886,82144
Eastern,ET0103,Tigray,ET01,Ethiopia,ET,940053,447887,492166,498228,396232,45593
Erer,ET0504,Somali,ET05,Ethiopia,ET,268901,144717,124184,142517,113342,13042
Etang Special,ET1204,Gambela,ET12,Ethiopia,ET,50260,25348,24911,26638,21184,2438
Fafan,ET0502,Somali,ET05,Ethiopia,ET,1242707,668802,573906,658635,523801,60271
Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET,1040106,541644,498461,551256,438405,50445
Gamo,ET0710,SNNP,ET07,Ethiopia,ET,1462777,727082,735695,775272,616561,70945
Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,1131834,565333,566501,599872,477068,54894
Gofa,ET0715,SNNP,ET07,Ethiopia,ET,623589,309309,314280,330502,262843,30244
Guji,ET0414,Oromia,ET04,Ethiopia,ET,1482472,747475,734997,785710,624862,71900
Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,1882107,910263,971844,997517,793308,91282
Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,1700138,842462,857676,901073,716608,82457
Halaba Special,ET0714,SNNP,ET07,Ethiopia,ET,658130,330627,327503,348809,277402,31919
Harari,ET1301,Harari,ET13,Ethiopia,ET,260022,131068,128954,137812,109599,12611
Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,791731,396698,395033,419617,333714,38399
Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,953178,476687,476491,505184,401764,46229
Jarar,ET0503,Somali,ET05,Ethiopia,ET,641077,345015,296062,339771,270214,31092
Jimma,ET0404,Oromia,ET04,Ethiopia,ET,3672640,1864683,1807956,1946499,1548018,178123
Kefa,ET0709,SNNP,ET07,Ethiopia,ET,1053546,516891,536655,558379,444070,51097
Kelem Wellega ,ET0418,Oromia,ET04,Ethiopia,ET,1141498,573464,568034,604994,481141,55363
Kemashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET,150986,77764,73222,80023,63641,7323
