ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Total,Male,Female,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus
North Western,ET0101,Tigray,ET01,Ethiopia,ET,923343,459592,463751,123489,131769,138330,77806,29147,78029,61006,47921,49308,37250,34691,28275,21813,16570,47938
Central,ET0102,Tigray,ET01,Ethiopia,ET,1481017,727200,753816,198013,211287,221829,124726,46719,124947,97812,76876,79375,59761,55853,45437,34963,26572,76840
Eastern,ET0103,Tigray,ET01,Ethiopia,ET,1048223,500832,547392,138524,147808,154917,89293,33449,89636,71850,55782,56889,42061,39268,31609,24661,18647,53827
Southern,ET0104,Tigray,ET01,Ethiopia,ET,793136,390086,403052,105211,112263,117615,67426,25256,67609,53862,41980,42801,31854,29663,23974,18654,14120,40843
Western,ET0105,Tigray,ET01,Ethiopia,ET,467890,241190,226699,61853,65999,68892,40100,15023,40141,32356,25149,25263,18711,17293,13944,10940,8253,23972
South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,451059,223168,227893,61721,65859,69490,36961,13844,36850,27333,22111,23713,18443,17416,14425,10739,8256,23901
Mekelle,ET0107,Tigray,ET01,Ethiopia,ET,520930,263498,257432,61155,65255,66068,50315,18847,51232,49501,35201,30685,19500,17009,12298,11654,8258,23952
Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,691336,368984,322352,110104,117486,87730,52707,19743,60471,58886,43601,38925,28669,20721,16215,10989,8029,17058
Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,513987,280566,233423,85884,91642,69023,39551,14815,41238,38718,31556,26870,20483,15617,11661,8303,5768,12860
Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,308903,165422,143481,47685,50881,37731,23417,8772,28323,28219,19801,18234,13167,9192,7376,4875,3685,7548
Fanti /Zone 4,ET0204,Afar,ET02,Ethiopia,ET,284032,157408,126623,48455,51704,39185,22016,8247,21958,19969,17176,14225,11099,8671,6373,4632,3113,7211
Hari /Zone 5,ET0205,Afar,ET02,Ethiopia,ET,217089,121230,95859,36484,38929,29398,16775,6285,17225,15970,13248,11203,8625,6608,4913,3530,2420,5479
North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,923903,462598,461308,115181,122903,131218,76011,28473,72707,73060,50485,52284,37616,36437,30284,24871,22757,49616
South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2626276,1328068,1298208,327010,348932,372269,216146,80969,207399,208715,144081,148705,106997,103491,85911,70503,64483,140668
North Wello,ET0303,Amhara,ET03,Ethiopia,ET,1812677,908149,904528,224750,239817,255769,149487,55995,144592,145487,100045,102888,73793,71357,59146,48491,44307,96750
South Wello,ET0304,Amhara,ET03,Ethiopia,ET,3392048,1680307,1711738,418107,446132,475609,280542,105091,274327,275939,188756,193147,137940,133323,110275,90290,82388,180181
North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,2397474,1208929,1188542,295162,314945,335909,198630,74406,194506,195550,133595,136304,97511,94085,77677,63738,58114,127347
East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2780562,1374367,1406193,345448,368608,392976,228842,85722,220672,222174,153094,157965,113203,109630,91051,74518,68147,148511
West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,3050635,1529113,1521522,369781,394570,420598,254950,95504,256414,257531,173583,174454,123798,119067,97580,80015,72637,160154
Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,533877,266490,267388,67126,71625,76422,43657,16353,41141,41435,28880,30164,21774,21132,17643,14461,13268,28798
Awi,ET0309,Amhara,ET03,Ethiopia,ET,1416328,710256,706068,170495,181926,193870,118826,44512,120881,121369,81345,81186,57424,55140,45030,36919,33446,73958
Oromia,ET0310,Amhara,ET03,Ethiopia,ET,596688,296051,300638,73217,78125,83293,49492,18539,48766,49023,33396,34016,24247,23410,19315,15825,14418,31603
Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2875609,1445423,1430186,346188,369397,394322,241634,90514,245290,245605,164523,164463,116483,111889,91352,75149,68068,150730
West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,402213,215845,186369,48794,52065,55558,33703,12624,33799,33951,22888,22844,16354,15639,12757,10533,9549,21154
West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,1951700,963607,988091,298956,318996,297674,151537,56764,143551,140285,106992,113516,75185,57348,47549,36774,33917,72661
East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,1763496,874544,888955,267517,285450,266540,138063,51718,132651,129566,97521,102901,67875,51818,42846,33054,30535,65443
Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,989638,491384,498257,151482,161637,150812,76932,28816,72945,71235,54265,57549,38117,29075,24093,18648,17190,36836
Jimma,ET0404,Oromia,ET04,Ethiopia,ET,3806252,1918842,1887414,585884,625158,582733,294982,110498,277202,270367,207480,220691,146669,111775,92636,72042,66214,141919
West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2885953,1433549,1452403,438857,468272,437130,225462,84458,215835,210953,159303,168280,111116,84816,70146,54174,50008,107149
North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,1686805,837975,848829,259343,276727,258107,130744,48976,123161,120096,92025,97879,64978,49533,41101,31874,29350,62913
East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2387668,1202877,1184791,332979,355300,333928,199445,74710,212462,206805,141517,143132,91207,70171,56787,42789,40129,86302
Arsi,ET0408,Oromia,ET04,Ethiopia,ET,3787581,1887217,1900364,578473,617248,575946,295042,110521,280638,274037,208118,220411,145864,111277,92125,71295,65731,140856
West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,2657825,1348784,1309038,411101,438658,408627,205139,76842,191249,186773,144335,153865,102494,78076,64723,50458,46299,99189
East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,3867023,1941698,1925324,599453,639641,595969,297655,111498,276654,270317,209606,223792,149148,113604,94322,73445,67447,144458
Bale,ET0411,Oromia,ET04,Ethiopia,ET,1407186,710952,696231,213445,227752,212529,110393,41354,106021,103357,77740,82010,54150,41326,34119,26419,24349,52215
Borena,ET0412,Oromia,ET04,Ethiopia,ET,564765,282630,282134,87199,93044,86726,43596,16330,40778,39865,30740,32744,21777,16595,13765,10697,9836,21067
South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,1311406,656265,655138,201301,214796,200315,101795,38132,96090,93763,71688,76144,50522,38518,31921,24766,22799,48856
Guji,ET0414,Oromia,ET04,Ethiopia,ET,1539071,770786,768282,235594,251385,234477,119656,44821,113394,110839,84443,89506,59299,45227,37437,29018,26721,57249
West Guji,ET0415,Oromia,ET04,Ethiopia,ET,1263044,629429,633615,196697,209884,195536,96803,36261,89344,87297,68153,72987,48729,37103,30867,24040,22073,47272
Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,837125,417674,419448,129532,138216,128829,64530,24173,60172,58746,45428,48473,32274,24588,20424,15877,14594,31269
West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,2996669,1469914,1526756,450058,480227,448939,236204,88479,230260,225134,167332,175609,115250,88096,72716,55804,51718,110841
Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET,1183360,590518,592838,181979,194178,181073,91640,34327,86259,84307,64642,68708,45610,34773,28827,22362,20585,44094
Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,827762,411555,416207,123939,132247,123605,65486,24532,64079,62582,46323,48523,31825,24326,20044,15405,14265,30582
Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET,1113558,574976,538580,154110,164442,154471,93267,34937,99993,98146,66796,67104,42613,32827,26385,19879,18630,39960
East Bale,ET0421,Oromia,ET04,Ethiopia,ET,554232,312927,241305,85908,91666,85049,43217,16189,40020,38633,29846,31821,21358,16230,13339,10638,9626,20689
Siti,ET0501,Somali,ET05,Ethiopia,ET,661463,350967,310496,119418,127423,109688,49367,18491,40492,40597,33602,28885,27638,16969,19326,7838,8409,13315
Fafan,ET0502,Somali,ET05,Ethiopia,ET,1284307,681771,602533,227244,242477,208304,98685,36968,83063,80118,67181,56399,53933,33549,36950,15576,16916,26950
Jarar,ET0503,Somali,ET05,Ethiopia,ET,659981,350249,309734,118185,126107,108467,49850,18672,41331,40775,33929,28886,27631,17057,19163,7897,8513,13515
Erer,ET0504,Somali,ET05,Ethiopia,ET,276101,146497,129603,49846,53189,45784,20606,7721,16901,16946,14026,12057,11537,7083,8067,3272,3510,5557
Korahe,ET0505,Somali,ET05,Ethiopia,ET,527389,279899,247490,94218,100534,86450,39972,14971,33243,32646,27207,23097,22095,13660,15285,6327,6832,10851
Shabelle,ET0506,Somali,ET05,Ethiopia,ET,667698,354392,313309,118917,126888,109079,50830,19040,42440,41435,34603,29267,27993,17341,19305,8039,8695,13827
Doolo,ET0507,Somali,ET05,Ethiopia,ET,437226,231988,205237,78936,84226,72504,32632,12224,26768,26834,22211,19092,18268,11216,12774,5182,5557,8802
Afder,ET0508,Somali,ET05,Ethiopia,ET,672361,356751,315612,121385,129522,111496,50181,18796,41161,41265,34156,29361,28093,17249,19643,7969,8549,13534
Liban,ET0509,Somali,ET05,Ethiopia,ET,518873,273549,245324,93581,99855,85956,38763,14519,31841,31888,26398,22691,21669,13323,15156,6152,6609,10469
Nogob,ET0510,Somali,ET05,Ethiopia,ET,223037,118341,104695,40266,42967,36985,16645,6235,13654,13688,11330,9739,9320,5722,6517,2643,2835,4489
Daawa,ET0511,Somali,ET05,Ethiopia,ET,469370,249043,220327,84737,90419,77834,35032,13122,28735,28806,23844,20496,19612,12041,13714,5563,5967,9449
Metekel,ET0602,Benishangul Gumz,ET06,Ethiopia,ET,526774,264951,261821,77217,82394,69191,44285,16588,47666,46058,31391,33300,19217,16936,13767,7716,9266,11780
Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,437079,223886,213192,65033,69393,58026,36424,13644,38081,36753,25605,27661,15889,14422,11733,6590,7912,9916
Kemashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET,165920,85629,80290,24332,25963,21822,13928,5217,14962,14490,9883,10498,6069,5344,4342,2428,2919,3720
Mao Komo Special,ET0605,Benishangul Gumz,ET06,Ethiopia,ET,75181,37639,37543,11436,12202,10113,6192,2319,6199,5946,4295,4757,2713,2578,2091,1186,1420,1734
Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,1786285,870362,915923,270202,288315,266301,143090,53601,125349,139463,107570,105106,71086,57649,44483,37355,30797,45916
Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,1743785,867026,876757,264348,282066,260426,139525,52263,121767,135348,104679,102497,69486,56219,43320,36607,30180,45050
Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,976649,480564,496084,143664,153296,143538,80983,30336,72764,80641,59681,58401,38447,31018,23496,19668,16204,24517
Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,1206665,603921,602744,179284,191302,178242,98947,37067,88002,97672,73337,71768,47706,38507,29296,24634,20308,30597
Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2153501,1062732,1090768,318225,339554,317022,177528,66502,158849,176387,131494,128452,84932,68648,52157,43601,35948,54207
South Omo,ET0707,SNNP,ET07,Ethiopia,ET,785553,393208,392345,121365,129501,118561,61398,22999,52497,58433,46570,45659,31548,25552,19895,16934,13963,20680
Sheka,ET0708,SNNP,ET07,Ethiopia,ET,286408,144680,141728,42338,45175,42206,23645,8858,21113,23407,17441,17086,11302,9106,6897,5808,4788,7238
