,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_3,ML1_2,ML1_3,ML2_1,ML2_2,ML2_3,CS_4,CS_5,ML1_1,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,ML1_99,CS_99,ML2_99
0,Barh-El-Gazel,Barh-El-Gazel Nord,2009-07-01,0.0,0.0,65159.65625,0.0,65159.65625,0.0,65159.65625,0.0,0.0,0,0.0,0.0,0,0.0,0,65159.65625,65159.65625,65159.65625,65159.65625,65159.65625,65159.65625,,,
1,Barh-El-Gazel,Barh-El-Gazel Ouest,2009-07-01,10.448765754699707,0.0,105650.59375,10.448765754699707,105650.59375,10.448765754699707,105650.59375,0.0,0.0,0,0.0,0.0,0,0.0,0,105661.0425157547,105661.0425157547,105661.0425157547,105661.0425157547,105661.0425157547,105661.0425157547,,,
2,Barh-El-Gazel,Barh-El-Gazel Sud,2009-07-01,0.0,0.0,100704.125,0.0,100704.125,0.0,100704.125,0.0,0.0,0,0.0,0.0,0,0.0,0,100704.125,100704.125,100704.125,100704.125,100704.125,100704.125,,,
3,Batha,Batha Est,2009-07-01,10.099736213684082,189613.546875,4596.578125,189623.640625,4596.578125,0.0,194220.21875,0.0,0.0,0,0.0,0.0,0,0.0,0,194220.22473621368,194220.22473621368,194220.21875,194220.21875,194220.21875,194220.21875,,,
4,Batha,Batha Ouest,2009-07-01,0.0,145.75115966796875,203249.125,145.75115966796875,203249.125,0.0,203394.90625,0.0,0.0,0,0.0,0.0,0,0.0,0,203394.87615966797,203394.87615966797,203394.87615966797,203394.87615966797,203394.90625,203394.90625,,,
5,Batha,Fitri,2009-07-01,0.0,249.4260711669922,113903.890625,249.42605590820312,113903.890625,0.0,114153.3203125,0.0,0.0,0,0.0,0.0,0,0.0,0,114153.31669616699,114153.31669616699,114153.3166809082,114153.3166809082,114153.3203125,114153.3203125,,,
6,Borkou,Borkou,2009-07-01,0.0,71791.1328125,124.48678588867188,71791.1328125,124.48678588867188,0.0,71915.625,0.0,0.0,0,0.0,0.0,0,0.0,0,71915.61959838867,71915.61959838867,71915.61959838867,71915.61959838867,71915.625,71915.625,,,
7,Borkou,Borkou Yala,2009-07-01,0.0,26070.701171875,12.982768058776855,26070.701171875,12.982768058776855,0.0,26083.68359375,0.0,0.0,0,0.0,0.0,0,0.0,0,26083.683939933777,26083.683939933777,26083.683939933777,26083.683939933777,26083.68359375,26083.68359375,,,
8,Chari-Baguirmi,Baguirmi,2009-07-01,220016.203125,156.09445190429688,0.0,220016.203125,156.09445190429688,220016.203125,156.09445190429688,0.0,0.0,0,0.0,0.0,0,0.0,0,220172.2975769043,220172.2975769043,220172.2975769043,220172.2975769043,220172.2975769043,220172.2975769043,,,
9,Chari-Baguirmi,Chari,2009-07-01,25.70231819152832,182620.96875,0.0,25.70231819152832,182620.96875,25.70231819152832,182620.96875,0.0,0.0,0,0.0,0.0,0,0.0,0,182646.67106819153,182646.67106819153,182646.67106819153,182646.67106819153,182646.67106819153,182646.67106819153,,,
10,Chari-Baguirmi,Loug-Chari,2009-07-01,195780.046875,6849.82080078125,0.0,202629.875,0.0,202629.875,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,202629.86767578125,202629.86767578125,202629.875,202629.875,202629.875,202629.875,,,
11,Ennedi Est,Am-Djarass,2009-07-01,0.0,81245.90625,0.0,81245.90625,0.0,0.0,81245.90625,0.0,0.0,0,0.0,0.0,0,0.0,0,81245.90625,81245.90625,81245.90625,81245.90625,81245.90625,81245.90625,,,
12,Ennedi Est,Wadi Hawar,2009-07-01,0.0,35823.5234375,7948.2392578125,35823.5234375,7948.2392578125,0.0,43771.76171875,0.0,0.0,0,0.0,0.0,0,0.0,0,43771.7626953125,43771.7626953125,43771.7626953125,43771.7626953125,43771.76171875,43771.76171875,,,
13,Ennedi Ouest,Fada,2009-07-01,0.0,25780.0078125,0.0,25780.0078125,0.0,0.0,25780.0078125,0.0,0.0,0,0.0,0.0,0,0.0,0,25780.0078125,25780.0078125,25780.0078125,25780.0078125,25780.0078125,25780.0078125,,,
14,Ennedi Ouest,Mourtcha,2009-07-01,0.0,23499.865234375,1819.4881591796875,23499.865234375,1819.4881591796875,0.0,25319.353515625,0.0,0.0,0,0.0,0.0,0,0.0,0,25319.353393554688,25319.353393554688,25319.353393554688,25319.353393554688,25319.353515625,25319.353515625,,,
15,Guéra,Abtouyour,2009-07-01,0.0,175700.65625,28.334882736206055,175700.65625,28.334882736206055,0.0,175729.0,0.0,0.0,0,0.0,0.0,0,0.0,0,175728.9911327362,175728.9911327362,175728.9911327362,175728.9911327362,175729.0,175729.0,,,
16,Guéra,Barh-Signaka,2009-07-01,109211.5703125,0.0,0.0,109211.5703125,0.0,29.77239227294922,109181.8046875,0.0,0.0,0,0.0,0.0,0,0.0,0,109211.5703125,109211.5703125,109211.5703125,109211.5703125,109211.57707977295,109211.57707977295,,,
17,Guéra,Guéra,2009-07-01,0.0,180881.75,0.0,180881.75,0.0,0.0,180881.75,0.0,0.0,0,0.0,0.0,0,0.0,0,180881.75,180881.75,180881.75,180881.75,180881.75,180881.75,,,
18,Guéra,Mangalmé,2009-07-01,0.0,99790.796875,0.0,99790.796875,0.0,0.0,99790.796875,0.0,0.0,0,0.0,0.0,0,0.0,0,99790.796875,99790.796875,99790.796875,99790.796875,99790.796875,99790.796875,,,
19,Hadjer-Lamis,Dababa,2009-07-01,240769.921875,0.0,82.34671020507812,240769.921875,82.34671020507812,240769.921875,82.34671020507812,0.0,0.0,0,0.0,0.0,0,0.0,0,240852.26858520508,240852.26858520508,240852.26858520508,240852.26858520508,240852.26858520508,240852.26858520508,,,
20,Hadjer-Lamis,Dagana,2009-07-01,0.0,251.62789916992188,127965.7734375,0.0,128217.40625,0.0,128217.40625,0.0,0.0,0,0.0,0.0,0,0.0,0,128217.40133666992,128217.40133666992,128217.40625,128217.40625,128217.40625,128217.40625,,,
21,Hadjer-Lamis,Haraze-Al-Biar,2009-07-01,263.82366943359375,151680.59375,0.0,263.82366943359375,151680.59375,263.82366943359375,151680.59375,0.0,0.0,0,0.0,0.0,0,0.0,0,151944.4174194336,151944.4174194336,151944.4174194336,151944.4174194336,151944.4174194336,151944.4174194336,,,
22,Kanem,Kanem,2009-07-01,1812.509521484375,0.0,156534.90625,1812.509521484375,156534.90625,1812.509521484375,156534.90625,0.0,0.0,0,0.0,0.0,0,0.0,0,158347.41577148438,158347.41577148438,158347.41577148438,158347.41577148438,158347.41577148438,158347.41577148438,,,
23,Kanem,Nord Kanem,2009-07-01,1365.3662109375,11.471519470214844,94457.1171875,1376.8377685546875,94457.1171875,1365.3662109375,94468.5859375,0.0,0.0,0,0.0,0.0,0,0.0,0,95833.95491790771,95833.95491790771,95833.95495605469,95833.95495605469,95833.9521484375,95833.9521484375,,,
24,Kanem,Wadi Bissam,2009-07-01,0.0,0.0,95106.421875,0.0,95106.421875,0.0,95106.421875,0.0,0.0,0,0.0,0.0,0,0.0,0,95106.421875,95106.421875,95106.421875,95106.421875,95106.421875,95106.421875,,,
25,Lac,Fouli,2009-07-01,76663.3828125,0.0,1136.66845703125,76663.3828125,1136.66845703125,76663.3828125,1136.66845703125,0.0,0.0,0,0.0,0.0,0,0.0,0,77800.05126953125,77800.05126953125,77800.05126953125,77800.05126953125,77800.05126953125,77800.05126953125,,,
26,Lac,Kaya,2009-07-01,54218.2109375,0.0,3239.428955078125,54218.2109375,3239.428955078125,54218.2109375,3239.42919921875,0.0,0.0,0,0.0,0.0,0,0.0,0,57457.639892578125,57457.639892578125,57457.639892578125,57457.639892578125,57457.64013671875,57457.64013671875,,,
27,Lac,Mamdi,2009-07-01,17409.75390625,0.0,16238.6845703125,17409.75390625,16238.6845703125,17409.75390625,16238.6845703125,0.0,0.0,0,0.0,0.0,0,0.0,0,33648.4384765625,33648.4384765625,33648.4384765625,33648.4384765625,33648.4384765625,33648.4384765625,,,
28,Lac,Wayi,2009-07-01,515.8255004882812,0.0,225620.125,515.8255004882812,225620.125,515.8255004882812,225620.125,0.0,0.0,0,0.0,0.0,0,0.0,0,226135.95050048828,226135.95050048828,226135.95050048828,226135.95050048828,226135.95050048828,226135.95050048828,,,
29,Logone Occidental,Dodjé,2009-07-01,463.68243408203125,148706.59375,0.0,149170.28125,0.0,149170.28125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,149170.27618408203,149170.27618408203,149170.28125,149170.28125,149170.28125,149170.28125,,,
30,Logone Occidental,Guéni,2009-07-01,232.87994384765625,82606.765625,0.0,82839.6484375,0.0,82839.6484375,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,82839.64556884766,82839.64556884766,82839.6484375,82839.6484375,82839.6484375,82839.6484375,,,
31,Logone Occidental,Lac Wey,2009-07-01,0.0,278461.1875,0.0,278461.1875,0.0,278461.1875,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,278461.1875,278461.1875,278461.1875,278461.1875,278461.1875,278461.1875,,,
32,Logone Occidental,Ngourkosso,2009-07-01,177.9379119873047,166277.21875,0.0,166455.15625,0.0,166455.15625,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,166455.1566619873,166455.1566619873,166455.15625,166455.15625,166455.15625,166455.15625,,,
33,Logone Oriental,Kouh Est,2009-07-01,0.0,100004.59375,0.0,100004.59375,0.0,100004.59375,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,100004.59375,100004.59375,100004.59375,100004.59375,100004.59375,100004.59375,,,
34,Logone Oriental,Kouh Ouest,2009-07-01,0.0,63057.4140625,0.0,63057.4140625,0.0,63057.4140625,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,63057.4140625,63057.4140625,63057.4140625,63057.4140625,63057.4140625,63057.4140625,,,
35,Logone Oriental,La Nya,2009-07-01,0.0,167218.84375,0.0,167218.84375,0.0,167218.84375,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,167218.84375,167218.84375,167218.84375,167218.84375,167218.84375,167218.84375,,,
36,Logone Oriental,La Nya Pendé,2009-07-01,44.329185485839844,111609.203125,0.0,111653.53125,0.0,111653.53125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,111653.53231048584,111653.53231048584,111653.53125,111653.53125,111653.53125,111653.53125,,,
37,Logone Oriental,La Pendé,2009-07-01,0.0,171186.546875,0.0,171186.546875,0.0,171186.546875,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,171186.546875,171186.546875,171186.546875,171186.546875,171186.546875,171186.546875,,,
38,Logone Oriental,Monts de Lam,2009-07-01,180735.21875,102915.75,0.0,283650.96875,0.0,283650.96875,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,283650.96875,283650.96875,283650.96875,283650.96875,283650.96875,283650.96875,,,
39,Mandoul,Barh-Sara,2009-07-01,0.0,227189.171875,0.0,227189.171875,0.0,227189.171875,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,227189.171875,227189.171875,227189.171875,227189.171875,227189.171875,227189.171875,,,
40,Mandoul,Mandoul Occidental,2009-07-01,0.0,159638.78125,0.0,159638.78125,0.0,159638.78125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,159638.78125,159638.78125,159638.78125,159638.78125,159638.78125,159638.78125,,,
