Unnamed: 0,date,CS,ADM0_EN,ADM1_EN,ADM2_EN,ML1,ML2,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2,period_ML1,period_ML2
0,2012-01-01,3.0,Ethiopia,Somali,Afder,3.0,3.0,672361,601062,0.0,0.0,601062.0,0.0,0.0,601062.0,0.0,0.0,601062.0,0.0,0.0,601062.0,0.0,0.0,601062.0,0.0,0.0,601062.0,Jan - Mar 2012,Apr - Jun 2012
1,2012-01-01,1.0,Ethiopia,Gambela,Agnewak,1.0,1.0,186845,167031,167031.0,0.0,0.0,0.0,0.0,167031.0,167031.0,0.0,0.0,0.0,0.0,167031.0,167031.0,0.0,0.0,0.0,0.0,167031.0,Jan - Mar 2012,Apr - Jun 2012
2,2012-01-01,3.0,Ethiopia,SNNP,Alle,3.0,3.0,85518,76449,0.0,0.0,76449.0,0.0,0.0,76449.0,0.0,0.0,76449.0,0.0,0.0,76449.0,0.0,0.0,76449.0,0.0,0.0,76449.0,Jan - Mar 2012,Apr - Jun 2012
3,2012-01-01,3.0,Ethiopia,SNNP,Amaro,3.0,3.0,203444,181870,0.0,0.0,181870.0,0.0,0.0,181870.0,0.0,0.0,181870.0,0.0,0.0,181870.0,0.0,0.0,181870.0,0.0,0.0,181870.0,Jan - Mar 2012,Apr - Jun 2012
4,2012-01-01,1.0,Ethiopia,Oromia,Arsi,1.0,1.0,3787581,3385939,3385939.0,0.0,0.0,0.0,0.0,3385939.0,3385939.0,0.0,0.0,0.0,0.0,3385939.0,3385939.0,0.0,0.0,0.0,0.0,3385939.0,Jan - Mar 2012,Apr - Jun 2012
5,2012-01-01,1.0,Ethiopia,Benishangul Gumz,Asosa,1.0,1.0,437079,390730,390730.0,0.0,0.0,0.0,0.0,390730.0,390730.0,0.0,0.0,0.0,0.0,390730.0,390730.0,0.0,0.0,0.0,0.0,390730.0,Jan - Mar 2012,Apr - Jun 2012
6,2012-01-01,1.0,Ethiopia,Amhara,Awi,1.0,1.0,1416328,1266138,1266138.0,0.0,0.0,0.0,0.0,1266138.0,1266138.0,0.0,0.0,0.0,0.0,1266138.0,1266138.0,0.0,0.0,0.0,0.0,1266138.0,Jan - Mar 2012,Apr - Jun 2012
7,2012-01-01,2.0,Ethiopia,Afar,Awsi /Zone 1,2.0,2.0,691336,618025,0.0,618025.0,0.0,0.0,0.0,618025.0,0.0,618025.0,0.0,0.0,0.0,618025.0,0.0,618025.0,0.0,0.0,0.0,618025.0,Jan - Mar 2012,Apr - Jun 2012
8,2012-01-01,3.0,Ethiopia,Oromia,Bale,3.0,3.0,1407186,1257965,0.0,0.0,1257965.0,0.0,0.0,1257965.0,0.0,0.0,1257965.0,0.0,0.0,1257965.0,0.0,0.0,1257965.0,0.0,0.0,1257965.0,Jan - Mar 2012,Apr - Jun 2012
9,2012-01-01,1.0,Ethiopia,SNNP,Basketo,1.0,2.0,80293,71778,71778.0,0.0,0.0,0.0,0.0,71778.0,71778.0,0.0,0.0,0.0,0.0,71778.0,0.0,71778.0,0.0,0.0,0.0,71778.0,Jan - Mar 2012,Apr - Jun 2012
10,2012-01-01,3.0,Ethiopia,Oromia,Borena,3.0,4.0,564765,504876,0.0,0.0,504876.0,0.0,0.0,504876.0,0.0,0.0,504876.0,0.0,0.0,504876.0,0.0,0.0,0.0,504876.0,0.0,504876.0,Jan - Mar 2012,Apr - Jun 2012
11,2012-01-01,2.0,Ethiopia,Tigray,Central,2.0,2.0,1481017,1323967,0.0,1323967.0,0.0,0.0,0.0,1323967.0,0.0,1323967.0,0.0,0.0,0.0,1323967.0,0.0,1323967.0,0.0,0.0,0.0,1323967.0,Jan - Mar 2012,Apr - Jun 2012
12,2012-01-01,1.0,Ethiopia,Amhara,Central Gondar,1.0,1.0,2875609,2570674,2570674.0,0.0,0.0,0.0,0.0,2570674.0,2570674.0,0.0,0.0,0.0,0.0,2570674.0,2570674.0,0.0,0.0,0.0,0.0,2570674.0,Jan - Mar 2012,Apr - Jun 2012
13,2012-01-01,3.0,Ethiopia,Somali,Daawa,3.0,3.0,469370,419597,0.0,0.0,419597.0,0.0,0.0,419597.0,0.0,0.0,419597.0,0.0,0.0,419597.0,0.0,0.0,419597.0,0.0,0.0,419597.0,Jan - Mar 2012,Apr - Jun 2012
14,2012-01-01,1.0,Ethiopia,SNNP,Dawuro,1.0,1.0,671195,600020,600020.0,0.0,0.0,0.0,0.0,600020.0,600020.0,0.0,0.0,0.0,0.0,600020.0,600020.0,0.0,0.0,0.0,0.0,600020.0,Jan - Mar 2012,Apr - Jun 2012
15,2012-01-01,3.0,Ethiopia,SNNP,Derashe,3.0,3.0,145708,130256,0.0,0.0,130256.0,0.0,0.0,130256.0,0.0,0.0,130256.0,0.0,0.0,130256.0,0.0,0.0,130256.0,0.0,0.0,130256.0,Jan - Mar 2012,Apr - Jun 2012
16,2012-01-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural,2.0,2.0,193614,173082,0.0,173082.0,0.0,0.0,0.0,173082.0,0.0,173082.0,0.0,0.0,0.0,173082.0,0.0,173082.0,0.0,0.0,0.0,173082.0,Jan - Mar 2012,Apr - Jun 2012
17,2012-01-01,3.0,Ethiopia,Somali,Doolo,3.0,3.0,437226,390861,0.0,0.0,390861.0,0.0,0.0,390861.0,0.0,0.0,390861.0,0.0,0.0,390861.0,0.0,0.0,390861.0,0.0,0.0,390861.0,Jan - Mar 2012,Apr - Jun 2012
18,2012-01-01,3.0,Ethiopia,Oromia,East Bale,3.0,4.0,554232,495460,0.0,0.0,495460.0,0.0,0.0,495460.0,0.0,0.0,495460.0,0.0,0.0,495460.0,0.0,0.0,0.0,495460.0,0.0,495460.0,Jan - Mar 2012,Apr - Jun 2012
19,2012-01-01,1.0,Ethiopia,Amhara,East Gojam,1.0,1.0,2780562,2485706,2485706.0,0.0,0.0,0.0,0.0,2485706.0,2485706.0,0.0,0.0,0.0,0.0,2485706.0,2485706.0,0.0,0.0,0.0,0.0,2485706.0,Jan - Mar 2012,Apr - Jun 2012
