ADMIN0,ADMIN1,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,CS_88,ML1_88,ML2_88,period_ML1,period_ML2
Malawi,Central,2009-07-01,5877867.0,507.57952880859375,62017.0,5877867.0,507.57952880859375,62017.0,5877867.0,507.57952880859375,0.0,62017.0,0.0,0,0,0.0,0,0,0.0,0,5878374.579528809,5940391.579528809,5878374.579528809,5940391.579528809,5878374.579528809,5940391.579528809,99.9913653081827,0.008634691817296196,0.0,0.0,0.0,0.0,0.0,0,0.0,5878374.579528809,100.0,99.9913653081827,0.008634691817296196,0.0,0.0,0.0,0.0,0.0,0,0.0,5878374.579528809,100.0,99.9913653081827,0.008634691817296196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5878374.579528809,100.0,0.0,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Malawi,Northern,2009-07-01,1770543.5,0.0,5357.33837890625,1770543.5,0.0,5357.33837890625,1770543.5,0.0,0.0,5357.33837890625,0.0,0,0,0.0,0,0,0.0,0,1770543.5,1775900.8383789062,1770543.5,1775900.8383789062,1770543.5,1775900.8383789062,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1770543.5,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1770543.5,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770543.5,100.0,0.0,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Malawi,Southern,2009-07-01,5462925.0,686064.375,104567.890625,5462925.0,686064.375,104567.890625,5459948.0,531048.875,157992.421875,104567.890625,0.0,0,0,0.0,0,0,0.0,0,6148989.375,6253557.265625,6148989.375,6253557.265625,6148989.296875,6253557.1875,88.84264822786426,11.157351772135728,0.0,0.0,0.0,0.0,0.0,0,0.0,6148989.375,100.0,88.84264822786426,11.157351772135728,0.0,0.0,0.0,0.0,0.0,0,0.0,6148989.375,100.0,88.79423489604739,8.636360373401303,2.56940473055131,0.0,0.0,157992.421875,2.56940473055131,0.0,0.0,5990996.875,97.43059526944869,2.56940473055131,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Malawi,Central,2009-10-01,5880978.0,507.57952880859375,58906.078125,5880978.0,507.57952880859375,58906.078125,5880978.0,0.0,507.57952880859375,58906.078125,0.0,0,0,0.0,0,0,0.0,0,5881485.579528809,5940391.657653809,5881485.579528809,5940391.657653809,5881485.579528809,5940391.657653809,99.99136987548565,0.008630124514379207,0.0,0.0,0.0,0.0,0.0,0,0.0,5881485.579528809,100.0,99.99136987548565,0.008630124514379207,0.0,0.0,0.0,0.0,0.0,0,0.0,5881485.579528809,100.0,99.99136987548565,0.0,0.008630124514379207,0.0,0.0,507.57952880859375,0.008630124514379207,0.0,0.0,5880978.0,99.99136987548565,0.008630124514379207,0.0,,,,Oct - Dec 2009,Jan - Mar 2010
Malawi,Northern,2009-10-01,1712164.375,0.0,63736.4375,1712164.375,0.0,63736.4375,1712164.375,0.0,0.0,63736.4375,0.0,0,0,0.0,0,0,0.0,0,1712164.375,1775900.8125,1712164.375,1775900.8125,1712164.375,1775900.8125,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1712164.375,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1712164.375,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1712164.375,100.0,0.0,0.0,,,,Oct - Dec 2009,Jan - Mar 2010
Malawi,Southern,2009-10-01,5465656.0,726801.875,61099.41796875,5462679.0,345795.21875,61099.41796875,5462679.0,71065.28125,658713.5625,61099.41796875,0.0,0,0,383983.625,0,0,0.0,0,6192457.875,6253557.29296875,6192457.84375,6253557.26171875,6192457.84375,6253557.26171875,88.26311151934965,11.736888480650348,0.0,0.0,0.0,0.0,0.0,0,0.0,6192457.875,100.0,88.21503735408453,5.584135208913993,6.200827437001476,0.0,0.0,383983.625,6.200827437001476,0,0.0,5808474.21875,93.79917256299852,88.21503735408453,1.147610254976958,10.63735239093851,0.0,0.0,658713.5625,10.63735239093851,0.0,0.0,5533744.28125,89.36264760906148,10.63735239093851,6.200827437001476,,,,Oct - Dec 2009,Jan - Mar 2010
Malawi,Central,2010-01-01,6135358.5,538.112548828125,0.0,6135358.5,538.112548828125,0.0,6135897.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,6135896.612548827,6135896.612548827,6135896.612548827,6135896.612548827,6135897.0,6135897.0,99.99123009100694,0.008769908993049266,0.0,0.0,0.0,0.0,0.0,0,0.0,6135896.612548827,100.0,99.99123009100694,0.008769908993049266,0.0,0.0,0.0,0.0,0.0,0,0.0,6135896.612548827,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6135897.0,100.0,0.0,0.0,,,,Jan - Mar 2010,Apr - Jun 2010
Malawi,Northern,2010-01-01,1833865.125,0.0,3992.151123046875,1833865.125,0.0,3992.151123046875,1833865.125,0.0,0.0,3992.151123046875,0.0,0,0,0.0,0,0,0.0,0,1833865.125,1837857.2761230469,1833865.125,1837857.2761230469,1833865.125,1837857.2761230469,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1833865.125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1833865.125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833865.125,100.0,0.0,0.0,,,,Jan - Mar 2010,Apr - Jun 2010
Malawi,Southern,2010-01-01,5651191.5,758340.4375,0.0,5651191.5,758340.4375,0.0,6406598.5,2932.77685546875,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,6409531.9375,6409531.9375,6409531.9375,6409531.9375,6409531.276855469,6409531.276855469,88.1685520113691,11.831447988630915,0.0,0.0,0.0,0.0,0.0,0,0.0,6409531.9375,100.0,88.1685520113691,11.831447988630915,0.0,0.0,0.0,0.0,0.0,0,0.0,6409531.9375,100.0,99.95424350504291,0.04575649495710983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6409531.276855469,100.0,0.0,0.0,,,,Jan - Mar 2010,Apr - Jun 2010
Malawi,Central,2010-04-01,6135358.5,538.112548828125,0.0,6133655.5,2242.186767578125,0.0,6049401.5,84408.4921875,2086.90625,0.0,0.0,0,0,0.0,0,0,0.0,0,6135896.612548827,6135896.612548827,6135897.686767577,6135897.686767577,6135896.8984375,6135896.8984375,99.99123009100694,0.008769908993049266,0.0,0.0,0.0,0.0,0.0,0,0.0,6135896.612548827,100.0,99.96345788534882,0.03654211465118677,0.0,0.0,0.0,0.0,0.0,0,0.0,6135897.686767577,100.0,98.59033813851198,1.3756504319522471,0.034011429535777064,0.0,0.0,2086.90625,0.034011429535777064,0.0,0.0,6133809.9921875,99.9659885704642,0.034011429535777064,0.0,,,,Apr - Jun 2010,Jul - Sep 2010
Malawi,Northern,2010-04-01,1833865.125,0.0,3992.151123046875,1833865.125,0.0,3992.151123046875,1833865.125,0.0,0.0,3992.151123046875,0.0,0,0,0.0,0,0,0.0,0,1833865.125,1837857.2761230469,1833865.125,1837857.2761230469,1833865.125,1837857.2761230469,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1833865.125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1833865.125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833865.125,100.0,0.0,0.0,,,,Apr - Jun 2010,Jul - Sep 2010
Malawi,Southern,2010-04-01,5503840.5,905691.4375,0.0,3075356.75,2594949.25,0.0,321981.09375,5016566.0,1070984.5,0.0,0.0,0,0,739226.125,0,0,0.0,0,6409531.9375,6409531.9375,6409532.125,6409532.125,6409531.59375,6409531.59375,85.86961659086045,14.130383409139538,0.0,0.0,0.0,0.0,0.0,0,0.0,6409531.9375,100.0,47.980986599704416,40.485782727861746,11.533230672433831,0.0,0.0,739226.125,11.533230672433831,0,0.0,5670306.0,88.46676932756617,5.023473073507697,78.26727938889802,16.70924753759429,0.0,0.0,1070984.5,16.70924753759429,0.0,0.0,5338547.09375,83.2907524624057,16.70924753759429,11.533230672433831,,,,Apr - Jun 2010,Jul - Sep 2010
Malawi,Central,2010-07-01,6049481.5,86415.4921875,0.0,6049481.5,84328.578125,0.0,6049401.5,84408.4921875,2086.90625,0.0,0.0,0,0,2086.90625,0,0,0.0,0,6135896.9921875,6135896.9921875,6135896.984375,6135896.984375,6135896.8984375,6135896.8984375,98.59164043500849,1.408359564991526,0.0,0.0,0.0,0.0,0.0,0,0.0,6135896.9921875,100.0,98.5916405605398,1.374348010400792,0.034011429059423365,0.0,0.0,2086.90625,0.034011429059423365,0,0.0,6133810.078125,99.96598857094057,98.59033813851198,1.3756504319522471,0.034011429535777064,0.0,0.0,2086.90625,0.034011429535777064,0.0,0.0,6133809.9921875,99.9659885704642,0.034011429535777064,0.034011429059423365,,,,Jul - Sep 2010,Oct - Dec 2010
Malawi,Northern,2010-07-01,1833865.125,0.0,3992.151123046875,1657239.375,176625.8125,3992.151123046875,1657239.375,176625.8125,0.0,3992.151123046875,0.0,0,0,0.0,0,0,0.0,0,1833865.125,1837857.2761230469,1833865.1875,1837857.3386230469,1833865.1875,1837857.3386230469,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1833865.125,100.0,90.36865884668526,9.631341153314741,0.0,0.0,0.0,0.0,0.0,0,0.0,1833865.1875,100.0,90.36865884668526,9.631341153314741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833865.1875,100.0,0.0,0.0,,,,Jul - Sep 2010,Oct - Dec 2010
Malawi,Southern,2010-07-01,3074413.5,2595892.75,0.0,2975999.75,2134866.0,0.0,321981.09375,4788884.5,1298666.25,0.0,739226.125,0,0,1298666.25,0,0,0.0,0,6409532.375,6409532.375,6409532.0,6409532.0,6409531.84375,6409531.84375,47.96626836602882,40.50050141138416,11.533230222587026,0.0,0.0,739226.125,11.533230222587026,0,0.0,5670306.25,88.46676977741299,46.43084315672346,33.307673633581985,20.26148320969456,0.0,0.0,1298666.25,20.26148320969456,0,0.0,5110865.75,79.73851679030544,5.023472877570097,74.71504341880586,20.261483703624044,0.0,0.0,1298666.25,20.261483703624044,0.0,0.0,5110865.59375,79.73851629637595,8.728253481037019,8.728252987107535,,,,Jul - Sep 2010,Oct - Dec 2010
Malawi,Southern,2010-10-01,4853485.5,1556046.25,0.0,2355056.0,4054476.0,0.0,323627.125,6085905.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,6409531.75,6409531.75,6409532.0,6409532.0,6409532.125,6409532.125,75.72293405052561,24.27706594947439,0.0,0.0,0.0,0.0,0.0,0,0.0,6409531.75,100.0,36.74302585586592,63.256974144134084,0.0,0.0,0.0,0.0,0.0,0,0.0,6409532.0,100.0,5.049153646296765,94.95084635370323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6409532.125,100.0,0.0,0.0,,,,Oct - Dec 2010,Jan - Mar 2011
Malawi,Central,2010-10-01,6135358.5,538.112548828125,0.0,6089048.5,46848.16796875,0.0,6088813.5,47083.35546875,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,6135896.612548827,6135896.612548827,6135896.66796875,6135896.66796875,6135896.85546875,6135896.85546875,99.99123009100694,0.008769908993049266,0.0,0.0,0.0,0.0,0.0,0,0.0,6135896.612548827,100.0,99.2364902718569,0.7635097281431042,0.0,0.0,0.0,0.0,0.0,0,0.0,6135896.66796875,100.0,99.23265731843607,0.7673426815639176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6135896.85546875,100.0,0.0,0.0,,,,Oct - Dec 2010,Jan - Mar 2011
Malawi,Northern,2010-10-01,1833865.125,0.0,3992.151123046875,1833865.125,0.0,3992.151123046875,1833865.125,0.0,0.0,3992.151123046875,0.0,0,0,0.0,0,0,0.0,0,1833865.125,1837857.2761230469,1833865.125,1837857.2761230469,1833865.125,1837857.2761230469,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1833865.125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1833865.125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833865.125,100.0,0.0,0.0,,,,Oct - Dec 2010,Jan - Mar 2011
