ADMIN0,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,CS_88,ML1_88,ML2_88
Malawi,Central,Dedza,2009-07-01,663581.0625,0.0,2496.515625,663581.0625,0.0,2496.515625,663581.0625,0.0,0.0,2496.515625,0.0,0,0,0.0,0,0,0.0,0,663581.0625,666077.578125,663581.0625,666077.578125,663581.0625,666077.578125,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,663581.0625,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,663581.0625,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663581.0625,100.0,0.0,0.0,,,
Malawi,Southern,Zomba City,2009-07-01,79436.0,0.0,4183.390625,79436.0,0.0,4183.390625,79436.0,0.0,0.0,4183.390625,0.0,0,0,0.0,0,0,0.0,0,79436.0,83619.390625,79436.0,83619.390625,79436.0,83619.390625,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,79436.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,79436.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79436.0,100.0,0.0,0.0,,,
Malawi,Southern,Zomba,2009-07-01,527573.875,57.1639518737793,98510.125,527573.875,57.1639518737793,98510.125,527573.875,0.0,57.1639518737793,98510.125,0.0,0,0,0.0,0,0,0.0,0,527631.0389518738,626141.1639518738,527631.0389518738,626141.1639518738,527631.0389518738,626141.1639518738,99.98916592322026,0.010834076779738754,0.0,0.0,0.0,0.0,0.0,0,0.0,527631.0389518738,100.0,99.98916592322026,0.010834076779738754,0.0,0.0,0.0,0.0,0.0,0,0.0,527631.0389518738,100.0,99.98916592322026,0.0,0.010834076779738754,0.0,0.0,57.1639518737793,0.010834076779738754,0.0,0.0,527573.875,99.98916592322026,0.010834076779738754,0.0,,,
Malawi,Southern,Thyolo,2009-07-01,642996.125,0.0,0.0,642996.125,0.0,0.0,642996.125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,642996.125,642996.125,642996.125,642996.125,642996.125,642996.125,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,642996.125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,642996.125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642996.125,100.0,0.0,0.0,,,
Malawi,Southern,Phalombe,2009-07-01,336895.46875,0.0,1237.32470703125,336895.46875,0.0,1237.32470703125,336895.46875,0.0,0.0,1237.32470703125,0.0,0,0,0.0,0,0,0.0,0,336895.46875,338132.79345703125,336895.46875,338132.79345703125,336895.46875,338132.79345703125,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,336895.46875,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,336895.46875,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336895.46875,100.0,0.0,0.0,,,
Malawi,Southern,Nsanje,2009-07-01,62751.66015625,189922.234375,0.0,62751.66015625,189922.234375,0.0,59774.69140625,138240.21875,54658.9921875,0.0,0.0,0,0,0.0,0,0,0.0,0,252673.89453125,252673.89453125,252673.89453125,252673.89453125,252673.90234375,252673.90234375,24.83503896303346,75.16496103696655,0.0,0.0,0.0,0.0,0.0,0,0.0,252673.89453125,100.0,24.83503896303346,75.16496103696655,0.0,0.0,0.0,0.0,0.0,0,0.0,252673.89453125,100.0,23.656852113254487,54.710920861914424,21.63222702483109,0.0,0.0,54658.9921875,21.63222702483109,0.0,0.0,198014.91015625,78.36777297516892,21.63222702483109,0.0,,,
Malawi,Southern,Neno,2009-07-01,118560.1796875,0.25838351249694824,0.0,118560.1796875,0.25838351249694824,0.0,118560.1796875,0.0,0.25838351249694824,0.0,0.0,0,0,0.0,0,0,0.0,0,118560.4380710125,118560.4380710125,118560.4380710125,118560.4380710125,118560.4380710125,118560.4380710125,99.99978206599377,0.00021793400623417727,0.0,0.0,0.0,0.0,0.0,0,0.0,118560.4380710125,100.0,99.99978206599377,0.00021793400623417727,0.0,0.0,0.0,0.0,0.0,0,0.0,118560.4380710125,100.0,99.99978206599377,0.0,0.00021793400623417727,0.0,0.0,0.25838351249694824,0.00021793400623417727,0.0,0.0,118560.1796875,99.99978206599377,0.00021793400623417727,0.0,,,
Malawi,Southern,Mwanza,2009-07-01,99783.546875,0.0,0.0,99783.546875,0.0,0.0,99783.546875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,99783.546875,99783.546875,99783.546875,99783.546875,99783.546875,99783.546875,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,99783.546875,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,99783.546875,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99783.546875,100.0,0.0,0.0,,,
Malawi,Southern,Mulanje,2009-07-01,551121.6875,0.0,0.0,551121.6875,0.0,0.0,551121.6875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,551121.6875,551121.6875,551121.6875,551121.6875,551121.6875,551121.6875,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,551121.6875,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,551121.6875,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551121.6875,100.0,0.0,0.0,,,
Malawi,Southern,Machinga,2009-07-01,535025.625,4003.30859375,0.0,535025.625,4003.30859375,0.0,535025.625,4003.30859375,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,539028.93359375,539028.93359375,539028.93359375,539028.93359375,539028.93359375,539028.93359375,99.25731100053208,0.7426889994679162,0.0,0.0,0.0,0.0,0.0,0,0.0,539028.93359375,100.0,99.25731100053208,0.7426889994679162,0.0,0.0,0.0,0.0,0.0,0,0.0,539028.93359375,100.0,99.25731100053208,0.7426889994679162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539028.93359375,100.0,0.0,0.0,,,
Malawi,Southern,Chiradzulu,2009-07-01,307956.125,0.0,637.0552978515625,307956.125,0.0,637.0552978515625,307956.125,0.0,0.0,637.0552978515625,0.0,0,0,0.0,0,0,0.0,0,307956.125,308593.18029785156,307956.125,308593.18029785156,307956.125,308593.18029785156,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,307956.125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,307956.125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307956.125,100.0,0.0,0.0,,,
