,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,CS_88,ML1_88,ML2_88
0,Central,Dedza,2009-07-01,663581.0625,0.0,2496.515625,663581.0625,0.0,2496.515625,663581.0625,0.0,0.0,2496.515625,0.0,0,0,0.0,0,0,0.0,0,663581.0625,666077.578125,663581.0625,666077.578125,663581.0625,666077.578125,,,
1,Central,Dowa,2009-07-01,609900.125,0.0,0.0,609900.125,0.0,0.0,609900.125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,609900.125,609900.125,609900.125,609900.125,609900.125,609900.125,,,
2,Central,Kasungu,2009-07-01,672432.875,0.0,1860.986328125,672432.875,0.0,1860.986328125,672432.875,0.0,0.0,1860.986328125,0.0,0,0,0.0,0,0,0.0,0,672432.875,674293.861328125,672432.875,674293.861328125,672432.875,674293.861328125,,,
3,Central,Lilongwe,2009-07-01,1295119.625,0.0,55501.6953125,1295119.625,0.0,55501.6953125,1295119.625,0.0,0.0,55501.6953125,0.0,0,0,0.0,0,0,0.0,0,1295119.625,1350621.3203125,1295119.625,1350621.3203125,1295119.625,1350621.3203125,,,
4,Central,Lilongwe City,2009-07-01,739040.1875,0.0,0.0,739040.1875,0.0,0.0,739040.1875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,739040.1875,739040.1875,739040.1875,739040.1875,739040.1875,739040.1875,,,
5,Central,Mchinji,2009-07-01,488385.875,0.0,0.0,488385.875,0.0,0.0,488385.875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,488385.875,488385.875,488385.875,488385.875,488385.875,488385.875,,,
6,Central,Nkhotakota,2009-07-01,308917.78125,0.0,1910.511474609375,308917.78125,0.0,1910.511474609375,308917.78125,0.0,0.0,1910.511474609375,0.0,0,0,0.0,0,0,0.0,0,308917.78125,310828.2927246094,308917.78125,310828.2927246094,308917.78125,310828.2927246094,,,
7,Central,Ntcheu,2009-07-01,500464.75,507.57952880859375,0.0,500464.75,507.57952880859375,0.0,500464.75,507.57952880859375,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,500972.3295288086,500972.3295288086,500972.3295288086,500972.3295288086,500972.3295288086,500972.3295288086,,,
8,Central,Ntchisi,2009-07-01,241625.53125,0.0,247.2891845703125,241625.53125,0.0,247.2891845703125,241625.53125,0.0,0.0,247.2891845703125,0.0,0,0,0.0,0,0,0.0,0,241625.53125,241872.8204345703,241625.53125,241872.8204345703,241625.53125,241872.8204345703,,,
9,Central,Salima,2009-07-01,358398.6875,0.0,0.0,358398.6875,0.0,0.0,358398.6875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,358398.6875,358398.6875,358398.6875,358398.6875,358398.6875,358398.6875,,,
