,date,ADMIN1,ADMIN2,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2,pop_ADMIN2
1,Aug 2020,,Balaka,175061.0,155610.0,58354.0,0.0,0.0,155610.0,155610.0,77805.0,0.0,0.0,,,,,,389024.0,389024.0,,
2,Aug 2020,,Blantyre,225610.0,180488.0,45122.0,0.0,0.0,203049.0,180488.0,67683.0,0.0,0.0,,,,,,451220.0,451220.0,,
3,Aug 2020,,Blantyre City,643610.0,268171.0,160903.0,0.0,0.0,589976.0,268171.0,214537.0,0.0,0.0,,,,,,1072684.0,1072684.0,,
4,Aug 2020,,Chikwawa,303346.0,193038.0,55154.0,0.0,0.0,275769.0,193038.0,82731.0,0.0,0.0,,,,,,551538.0,551538.0,,
5,Aug 2020,,Chiradzulu,194653.0,123870.0,35391.0,0.0,0.0,159261.0,141566.0,53087.0,0.0,0.0,,,,,,353914.0,353914.0,,
6,Aug 2020,,Chitipa,184606.0,21718.0,10859.0,0.0,0.0,162888.0,32578.0,21718.0,0.0,0.0,,,,,,217184.0,217184.0,,
7,Aug 2020,,Dedza,519730.0,199896.0,79958.0,0.0,0.0,439771.0,239875.0,119938.0,0.0,0.0,,,,,,799584.0,799584.0,,
8,Aug 2020,,Dowa,444535.0,222267.0,74089.0,0.0,0.0,370446.0,259312.0,111134.0,0.0,0.0,,,,,,740891.0,740891.0,,
9,Aug 2020,,Karonga,212393.0,60684.0,30342.0,0.0,0.0,197222.0,60684.0,45513.0,0.0,0.0,,,,,,303419.0,303419.0,,
10,Aug 2020,,Kasungu,508365.0,181559.0,36312.0,0.0,0.0,399429.0,217871.0,108935.0,0.0,0.0,,,,,,726235.0,726235.0,,
11,Aug 2020,,Likoma,12327.0,1450.0,725.0,0.0,0.0,11602.0,2175.0,725.0,0.0,0.0,,,,,,14502.0,14502.0,,
12,Aug 2020,,Lilongwe,982550.0,491275.0,163758.0,0.0,0.0,818792.0,655033.0,163758.0,0.0,0.0,,,,,,1637583.0,1637583.0,,
13,Aug 2020,,Lilongwe City,887721.0,341431.0,136572.0,0.0,0.0,682862.0,409717.0,273145.0,0.0,0.0,,,,,,1365724.0,1365724.0,,
14,Aug 2020,,Machinga,355116.0,284092.0,71023.0,0.0,0.0,319604.0,284092.0,106535.0,0.0,0.0,,,,,,710231.0,710231.0,,
15,Aug 2020,,Mangochi,432463.0,540579.0,108116.0,0.0,0.0,324047.0,594087.0,162024.0,0.0,0.0,,,,,,1081158.0,1080158.0,,
16,Aug 2020,,Mchinji,373291.0,172288.0,28715.0,0.0,0.0,315862.0,201003.0,57429.0,0.0,0.0,,,,,,574294.0,574294.0,,
17,Aug 2020,,Mulanje,435061.0,200798.0,33466.0,0.0,0.0,401595.0,200798.0,66933.0,0.0,0.0,,,,,,669325.0,669325.0,,
18,Aug 2020,,Mwanza,67746.0,33873.0,11291.0,0.0,0.0,50810.0,45164.0,16937.0,0.0,0.0,,,,,,112910.0,112910.0,,
19,Aug 2020,,Mzimba,594157.0,228522.0,91409.0,0.0,0.0,502748.0,274226.0,137113.0,0.0,0.0,,,,,,914088.0,914088.0,,
20,Aug 2020,,Mzuzu City,229699.0,45940.0,30627.0,0.0,0.0,122506.0,122506.0,61253.0,0.0,0.0,,,,,,306265.0,306265.0,,
21,Aug 2020,,Neno,74804.0,40802.0,20401.0,0.0,0.0,68004.0,40802.0,27202.0,0.0,0.0,,,,,,136008.0,136008.0,,
22,Aug 2020,,Nkhata Bay,216326.0,40561.0,13520.0,0.0,0.0,189285.0,54081.0,27041.0,0.0,0.0,,,,,,270407.0,270407.0,,
23,Aug 2020,,Nkhotakota,200600.0,145891.0,18236.0,0.0,0.0,182364.0,145891.0,36473.0,0.0,0.0,,,,,,364727.0,364727.0,,
24,Aug 2020,,Nsanje,163394.0,68081.0,40849.0,0.0,0.0,149778.0,68081.0,54465.0,0.0,0.0,,,,,,272324.0,272324.0,,
25,Aug 2020,,Ntcheu,414939.0,191510.0,31918.0,0.0,0.0,351102.0,223428.0,63837.0,0.0,0.0,,,,,,638367.0,638367.0,,
26,Aug 2020,,Ntchisi,184627.0,92314.0,30771.0,0.0,0.0,153856.0,107699.0,46157.0,0.0,0.0,,,,,,307712.0,307712.0,,
27,Aug 2020,,Phalombe,190444.0,190444.0,42321.0,0.0,0.0,148123.0,211604.0,63481.0,0.0,0.0,,,,,,423208.0,423208.0,,
28,Aug 2020,,Rumphi,144762.0,41361.0,20680.0,0.0,0.0,103402.0,72381.0,31020.0,0.0,0.0,,,,,,206803.0,206803.0,,
29,Aug 2020,,Salima,282855.0,108791.0,43516.0,0.0,0.0,261097.0,108791.0,65274.0,0.0,0.0,,,,,,435162.0,435162.0,,
30,Aug 2020,,Thyolo,420608.0,210304.0,70101.0,0.0,0.0,385557.0,210304.0,105152.0,0.0,0.0,,,,,,701013.0,701013.0,,
31,Aug 2020,,Zomba,298690.0,373362.0,74672.0,0.0,0.0,261353.0,373362.0,112009.0,0.0,0.0,,,,,,746724.0,746724.0,,
