ADMIN0,ADMIN1,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,period_ML1,period_ML2
Somalia,Awdal,2009-07-01,20.723438262939453,0.0,0.0,463644.90625,0.0,20.723438262939453,0.0,0.0,463644.90625,0.0,20.723438262939453,0.0,0.0,463644.90625,0.0,0.0,0.0,0.0,20.723438262939453,463665.6296882629,20.723438262939453,463665.6296882629,20.723438262939453,463665.6296882629,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.723438262939453,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.723438262939453,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.723438262939453,100.0,0.0,0.0,Jul - Sep 2009,Oct - Dec 2009
Somalia,Woqooyi Galbeed,2009-07-01,0.0,0.0,0.0,1093734.75,0.0,0.0,0.0,0.0,1093734.75,0.0,0.0,0.0,0.0,1093734.75,0.0,0.0,0.0,0.0,0.0,1093734.75,0.0,1093734.75,0.0,1093734.75,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Togdheer,2009-07-01,0.0,0.0,0.0,628867.75,0.0,0.0,0.0,0.0,628867.75,0.0,0.0,0.0,0.0,628867.75,0.0,0.0,0.0,0.0,0.0,628867.75,0.0,628867.75,0.0,628867.75,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Sool,2009-07-01,0.0,0.0,0.0,229015.703125,0.0,0.0,0.0,0.0,229015.703125,0.0,0.0,0.0,0.0,229015.703125,0.0,0.0,0.0,0.0,0.0,229015.703125,0.0,229015.703125,0.0,229015.703125,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Sanaag,2009-07-01,0.0,0.0,0.0,419754.84375,0.0,0.0,0.0,0.0,419754.84375,0.0,0.0,0.0,0.0,419754.84375,0.0,0.0,0.0,0.0,0.0,419754.84375,0.0,419754.84375,0.0,419754.84375,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Mudug,2009-07-01,0.0,0.0,0.0,546031.5625,0.0,0.0,0.0,0.0,546031.5625,0.0,0.0,0.0,0.0,546031.5625,0.0,0.0,0.0,0.0,0.0,546031.5625,0.0,546031.5625,0.0,546031.5625,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Middle Shabelle,2009-07-01,0.0,0.0,0.0,804763.875,0.0,0.0,0.0,0.0,804763.875,0.0,0.0,0.0,0.0,804763.875,0.0,0.0,0.0,0.0,0.0,804763.875,0.0,804763.875,0.0,804763.875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Middle Juba,2009-07-01,0.0,0.0,0.0,370670.53125,0.0,0.0,0.0,0.0,370670.53125,0.0,0.0,0.0,0.0,370670.53125,0.0,0.0,0.0,0.0,0.0,370670.53125,0.0,370670.53125,0.0,370670.53125,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Lower Shabelle,2009-07-01,0.0,0.0,0.0,1341455.625,0.0,0.0,0.0,0.0,1341455.625,0.0,0.0,0.0,0.0,1341455.625,0.0,0.0,0.0,0.0,0.0,1341455.625,0.0,1341455.625,0.0,1341455.625,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Nugaal,2009-07-01,0.0,0.0,0.0,194879.296875,0.0,0.0,0.0,0.0,194879.296875,0.0,0.0,0.0,0.0,194879.296875,0.0,0.0,0.0,0.0,0.0,194879.296875,0.0,194879.296875,0.0,194879.296875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Hiraan,2009-07-01,0.0,0.0,0.0,512541.125,0.0,0.0,0.0,0.0,512541.125,0.0,0.0,0.0,0.0,512541.125,0.0,0.0,0.0,0.0,0.0,512541.125,0.0,512541.125,0.0,512541.125,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Gedo,2009-07-01,0.0,0.0,0.0,512546.46875,0.0,0.0,0.0,0.0,512546.46875,0.0,0.0,0.0,0.0,512546.46875,0.0,0.0,0.0,0.0,0.0,512546.46875,0.0,512546.46875,0.0,512546.46875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Galgaduud,2009-07-01,0.0,0.0,0.0,514325.125,0.0,0.0,0.0,0.0,514325.125,0.0,0.0,0.0,0.0,514325.125,0.0,0.0,0.0,0.0,0.0,514325.125,0.0,514325.125,0.0,514325.125,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Bay,2009-07-01,0.0,0.0,0.0,968685.125,0.0,0.0,0.0,0.0,968685.125,0.0,0.0,0.0,0.0,968685.125,0.0,0.0,0.0,0.0,0.0,968685.125,0.0,968685.125,0.0,968685.125,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Bari,2009-07-01,0.0,0.0,0.0,595480.5,0.0,0.0,0.0,0.0,595480.5,0.0,0.0,0.0,0.0,595480.5,0.0,0.0,0.0,0.0,0.0,595480.5,0.0,595480.5,0.0,595480.5,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Banadir,2009-07-01,0.0,0.0,0.0,1388087.5,0.0,0.0,0.0,0.0,1388087.5,0.0,0.0,0.0,0.0,1388087.5,0.0,0.0,0.0,0.0,0.0,1388087.5,0.0,1388087.5,0.0,1388087.5,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Bakool,2009-07-01,0.0,0.0,0.0,483539.5,0.0,0.0,0.0,0.0,483539.5,0.0,0.0,0.0,0.0,483539.5,0.0,0.0,0.0,0.0,0.0,483539.5,0.0,483539.5,0.0,483539.5,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
