date,ADMIN1,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2,period_ML1,period_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,source,ADMIN0,year,month,trigger_ML1_4_20,trigger_ML1_3_30,trigger_ML1_3_5i,threshold_reached_ML1,trigger_ML2_4_20,trigger_ML2_3_30,trigger_ML2_3_5i,threshold_reached_ML2
7/1/09,Addis Ababa,3780729,3106699,3106699,0,0,0,0,3106699,0,0,0,0,3106699,0,0,0,0,3106699,3106699,3106699,Jul - Sep 2009,Oct - Dec 2009,100,0,0,0,0,0,0,0,0,3106699,100,100,0,0,0,0,0,0,0,0,3106699,100,100,0,0,0,0,0,0,0,0,3106699,100,0,0,FewsNet,,2009,7,0,0,0,FALSE,0,0,0,FALSE
7/1/09,Afar,2015347,1656048,0,821915,834133,0,0,0,821915,834133,0,0,0,1000301,655747,0,0,1656048,1656048,1656048,Jul - Sep 2009,Oct - Dec 2009,0,49.63110973,50.36889027,0,0,834133,50.36889027,0,0,821915,49.63110973,0,49.63110973,50.36889027,0,0,834133,50.36889027,0,0,821915,49.63110973,0,60.40289895,39.59710105,0,0,655747,39.59710105,0,0,1000301,60.40289895,-10.77178922,0,FewsNet,,2009,7,0,1,0,FALSE,0,1,0,FALSE
7/1/09,Amhara,22808290,18742015,10806944,1970051,5965020,0,0,10806944,1970051,5965020,0,0,8648882,10093133,0,0,0,18742015,18742015,18742015,Jul - Sep 2009,Oct - Dec 2009,57.66159082,10.51141513,31.82699406,0,0,5965020,31.82699406,0,0,12776995,68.17300594,57.66159082,10.51141513,31.82699406,0,0,5965020,31.82699406,0,0,12776995,68.17300594,46.14702315,53.85297685,0,0,0,0,0,0,0,18742015,100,-31.82699406,0,FewsNet,,2009,7,0,1,0,FALSE,0,0,0,FALSE
7/1/09,Benishangul Gumz,1204954,990132,990132,0,0,0,0,990132,0,0,0,0,990132,0,0,0,0,990132,990132,990132,Jul - Sep 2009,Oct - Dec 2009,100,0,0,0,0,0,0,0,0,990132,100,100,0,0,0,0,0,0,0,0,990132,100,100,0,0,0,0,0,0,0,0,990132,100,0,0,FewsNet,,2009,7,0,0,0,FALSE,0,0,0,FALSE
7/1/09,Dire Dawa,523623,430270,0,430270,0,0,0,0,430270,0,0,0,0,430270,0,0,0,430270,430270,430270,Jul - Sep 2009,Oct - Dec 2009,0,100,0,0,0,0,0,0,0,430270,100,0,100,0,0,0,0,0,0,0,430270,100,0,100,0,0,0,0,0,0,0,430270,100,0,0,FewsNet,,2009,7,0,0,0,FALSE,0,0,0,FALSE
7/1/09,Gambela,498214,409390,69925,339465,0,0,0,69925,0,339465,0,0,69925,339465,0,0,0,409390,409390,409390,Jul - Sep 2009,Oct - Dec 2009,17.08029019,82.91970981,0,0,0,0,0,0,0,409390,100,17.08029019,0,82.91970981,0,0,339465,82.91970981,0,0,69925,17.08029019,17.08029019,82.91970981,0,0,0,0,0,0,0,409390,100,0,82.91970981,FewsNet,,2009,7,0,1,1,TRUE,0,0,0,FALSE
7/1/09,Harari,275491,226376,0,226376,0,0,0,0,226376,0,0,0,0,226376,0,0,0,226376,226376,226376,Jul - Sep 2009,Oct - Dec 2009,0,100,0,0,0,0,0,0,0,226376,100,0,100,0,0,0,0,0,0,0,226376,100,0,100,0,0,0,0,0,0,0,226376,100,0,0,FewsNet,,2009,7,0,0,0,FALSE,0,0,0,FALSE
7/1/09,Oromia,39382119,32361050,13288817,3757524,15314709,0,0,13288817,3757524,15314709,0,0,11326824,18157807,2876419,0,0,32361050,32361050,32361050,Jul - Sep 2009,Oct - Dec 2009,41.06423308,11.61125489,47.32451203,0,0,15314709,47.32451203,0,0,17046341,52.67548797,41.06423308,11.61125489,47.32451203,0,0,15314709,47.32451203,0,0,17046341,52.67548797,35.00141065,56.1100675,8.88852185,0,0,2876419,8.88852185,0,0,29484631,91.11147815,-38.43599018,0,FewsNet,,2009,7,0,1,0,FALSE,0,0,0,FALSE
7/1/09,SNNP,16721876,13740684,2013183,1312578,10414923,0,0,2013183,1312578,10414923,0,0,2013183,9433243,2294258,0,0,13740684,13740684,13740684,Jul - Sep 2009,Oct - Dec 2009,14.65125754,9.552493893,75.79624857,0,0,10414923,75.79624857,0,0,3325761,24.20375143,14.65125754,9.552493893,75.79624857,0,0,10414923,75.79624857,0,0,3325761,24.20375143,14.65125754,68.65191718,16.69682528,0,0,2294258,16.69682528,0,0,11446426,83.30317472,-59.09942329,0,FewsNet,,2009,7,0,1,0,FALSE,0,0,0,FALSE
7/1/09,Sidama,4432226,3642047,0,0,3642047,0,0,0,0,3642047,0,0,0,3642047,0,0,0,3642047,3642047,3642047,Jul - Sep 2009,Oct - Dec 2009,0,0,100,0,0,3642047,100,0,0,0,0,0,0,100,0,0,3642047,100,0,0,0,0,0,100,0,0,0,0,0,0,0,3642047,100,-100,0,FewsNet,,2009,7,0,1,0,FALSE,0,0,0,FALSE
